gene_symbol,gene_name,category,priority,justification,guide_site_support_pattern
Tmem119,Transmembrane protein 119,microglial_identity,medium,Transmembrane protein 119; homeostatic microglial marker,no_surveyed_context
Hexb,Hexosaminidase subunit beta,microglial_identity,medium,Hexosaminidase B; homeostatic microglial marker,no_surveyed_context
Cx3cr1,C-X3-C motif chemokine receptor 1,microglial_identity,medium,Fractalkine receptor CX3CR1; microglial identity and neuron-glia signaling,no_surveyed_context
Sall1,Spalt like transcription factor 1,microglial_identity,medium,Transcription factor Sall1; microglial identity maintenance,all_six_contexts
Siglech,Sialic acid binding Ig-like lectin H,microglial_identity,medium,Sialic acid-binding Ig-like lectin H; microglial surface marker,multi_study_support
Spi1,Spi-1 proto-oncogene,microglial_identity,high,PU.1/SPI1; master transcription factor for myeloid/microglial lineage,no_surveyed_context
Irf8,Interferon regulatory factor 8,microglial_identity,medium,IRF8; transcription factor for microglial development,all_six_contexts
Csf1r,Colony stimulating factor 1 receptor,microglial_identity,high,CSF1 receptor; essential for microglial survival signaling,multi_study_support
Grn,Granulin precursor,neuroprotection,high,Progranulin; lysosomal function; FTD risk gene,all_six_contexts
Hdac1,Histone deacetylase 1,epigenetic_regulation,medium,Histone deacetylase 1; epigenetic regulation of gene expression,all_six_contexts
Hdac2,Histone deacetylase 2,epigenetic_regulation,medium,Histone deacetylase 2; epigenetic regulation,no_surveyed_context
Tet2,Tet methylcytosine dioxygenase 2,epigenetic_regulation,medium,TET2 DNA demethylase; epigenetic reprogramming in myeloid cells,no_surveyed_context
Dnmt3a,DNA methyltransferase 3 alpha,epigenetic_regulation,medium,DNA methyltransferase 3A; de novo DNA methylation,no_surveyed_context
Arg1,Arginase 1,inflammation,medium,Arginase 1; M2/anti-inflammatory macrophage marker,single_study_support
Chil3,Chitinase-like 3,inflammation,medium,Chitinase-like 3 (Ym1); M2 microglial marker,no_surveyed_context
Mrc1,Mannose receptor C type 1,inflammation,medium,Mannose receptor C type 1 (CD206); M2 marker,all_six_contexts
