gene_symbol,gene_name,category,priority,justification
Csf1,Colony stimulating factor 1,neuroprotection,medium,Colony stimulating factor 1; microglial survival and proliferation
Gdnf,Glial cell derived neurotrophic factor,neuroprotection,medium,Glial-derived neurotrophic factor; motor neuron survival
Vegfa,Vascular endothelial growth factor A,neuroprotection,medium,VEGF-A; vascular endothelial growth factor; angiogenesis in repair
P2ry12,Purinergic receptor P2Y12,microglial_identity,medium,Purinergic receptor P2Y12; homeostatic microglial marker
Tmem119,Transmembrane protein 119,microglial_identity,medium,Transmembrane protein 119; homeostatic microglial marker
Hexb,Hexosaminidase subunit beta,microglial_identity,medium,Hexosaminidase B; homeostatic microglial marker
Cx3cr1,C-X3-C motif chemokine receptor 1,microglial_identity,medium,Fractalkine receptor CX3CR1; microglial identity and neuron-glia signaling
Sall1,Spalt like transcription factor 1,microglial_identity,medium,Transcription factor Sall1; microglial identity maintenance
Siglech,Sialic acid binding Ig-like lectin H,microglial_identity,medium,Sialic acid-binding Ig-like lectin H; microglial surface marker
Spi1,Spi-1 proto-oncogene,microglial_identity,high,PU.1/SPI1; master transcription factor for myeloid/microglial lineage
Irf8,Interferon regulatory factor 8,microglial_identity,medium,IRF8; transcription factor for microglial development
Csf1r,Colony stimulating factor 1 receptor,microglial_identity,high,CSF1 receptor; essential for microglial survival signaling
Grn,Granulin precursor,neuroprotection,high,Progranulin; lysosomal function; FTD risk gene
Hdac1,Histone deacetylase 1,epigenetic_regulation,medium,Histone deacetylase 1; epigenetic regulation of gene expression
Hdac2,Histone deacetylase 2,epigenetic_regulation,medium,Histone deacetylase 2; epigenetic regulation
Tet2,Tet methylcytosine dioxygenase 2,epigenetic_regulation,medium,TET2 DNA demethylase; epigenetic reprogramming in myeloid cells
Dnmt3a,DNA methyltransferase 3 alpha,epigenetic_regulation,medium,DNA methyltransferase 3A; de novo DNA methylation
Arg1,Arginase 1,inflammation,medium,Arginase 1; M2/anti-inflammatory macrophage marker
Chil3,Chitinase-like 3,inflammation,medium,Chitinase-like 3 (Ym1); M2 microglial marker
Mrc1,Mannose receptor C type 1,inflammation,medium,Mannose receptor C type 1 (CD206); M2 marker
